price_cluster,make,model,subtype,outside_color,mileage_cluster,hp_cluster,built_year,fueltype,geartype,body_type,upholstery,fuel_cluster,time_sell
25-30k,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 250,White,40-50k,200-250hp,2016,Benzin,Gear type automatic,Kombi,Teilleder,+6.5f,50-65d
20-25k,MINI,Cabrio,Cooper D,Blue,70-80k,100-150hp,2016,Diesel,Gear type automatic,Cabrio,Leder,0-4.5f,50-65d
20-25k,Audi,A5,1.8 TFSI,Gray,90-100k,150-200hp,2016,Benzin,Gear type manual,Cabrio,Alcantara,+6.5f,25-35d
20-25k,Mercedes-Benz,A-Klasse,A 250,Black,90-100k,200-250hp,2013,Benzin,Gear type automatic,Limousine,Alcantara,5.5-6.5f,100+
20-25k,Volkswagen,Golf VII,1.5 TSI,Black,40-50k,100-150hp,2018,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,25-35d
15-20k,Ford,Focus,2.0 EcoBoost,White,100k+,200-250hp,2017,Benzin,Gear type manual,Kombi,Teilleder,+6.5f,0-7d
10-15k,Seat,Leon,1.4 TSI,Black,80-90k,100-150hp,2014,Benzin,Gear type manual,Limousine,Teilleder,4.5-5.5f,15-25d
15-20k,Volkswagen,Golf VII,1.4 TSI,Black,30-40k,100-150hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
15-20k,Ford,Focus,1.5 EcoBoost,Red,40-50k,150-200hp,2018,Benzin,Gear type automatic,Kombi,Stoff,5.5-6.5f,7-15d
15-20k,Citroen,Berlingo,1.5 Blue-HDi,White,80-90k,100-150hp,2018,Diesel,Gear type manual,Van,Stoff,0-4.5f,25-35d
+30k,Audi,RS Q3,2.5 TFSI,Brown,50-60k,+250hp,2016,Benzin,Gear type automatic,SUV,Leder,+6.5f,50-65d
0-10k,Citroen,C4 Cactus,1.2 VTi,White,90-100k,0-100hp,2017,Benzin,Gear type manual,SUV,Stoff,4.5-5.5f,0-7d
10-15k,Hyundai,i20,1.2,White,40-50k,0-100hp,2018,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,7-15d
15-20k,BMW,1er,120d,Blue,90-100k,150-200hp,2015,Diesel,Gear type automatic,Limousine,Stoff,0-4.5f,35-50d
15-20k,Toyota,RAV 4,2.2 D-4D,Black,70-80k,100-150hp,2013,Diesel,Gear type manual,SUV,Stoff,5.5-6.5f,80-100d
20-25k,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 180,White,30-40k,100-150hp,2018,Benzin,Gear type manual,Kombi,Alcantara,4.5-5.5f,0-7d
25-30k,Mercedes-Benz,E-Klasse,E 350 CGI,Gray,50-60k,+250hp,2013,Benzin,Gear type automatic,Limousine,Leder,+6.5f,35-50d
10-15k,Opel,Adam,1.4,Red,60-70k,0-100hp,2016,Benzin,Gear type manual,Limousine,Teilleder,4.5-5.5f,100+
