company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
autopark ulens,1,Small_buyer,1,10,5,300,2017,37495,23218,100,0,0,0,100,0,1840
HYSI COM SH.P.K.,1,Small_buyer,1,9,3,115,2012,220126,7800,0,0,100,100,0,0,364
MANUEL MUÑOZ MORA,3,Small_buyer,2,9,5,110,2014,89524,8415,0,0,100,100,0,0,507
"Auto Kultur Linden, Inh. Manya Snezhanova",15,Medium_buyer,5,8,6,171,2004,207568,3208,0,33,66,33,66,0,249
DAZAR Dawid Zaremba,7,Small_buyer,3,7,5,111,2010,185021,4290,0,14,85,42,57,0,646
"ATS SHIPPING, Inh. Razaki Tiamiou",32,Medium_buyer,7,5,4,102,2000,210783,542,0,12,87,3,96,0,191
Rudy van de Ven Auto`s,70,Top_buyer,9,3,10,99,2012,105954,5518,0,5,94,0,100,0,502
Koller + Amstutz AG,2,Small_buyer,1,7,6,139,2021,34091,24310,0,50,50,50,50,0,662
PUH ELIA Jowita Stachura-Jakóbik,1,Small_buyer,1,8,2,163,2004,264392,1350,0,0,100,0,100,0,392
MARTINEAU - DURAND,18,Medium_buyer,5,4,9,106,2015,66677,8359,0,0,100,0,50,50,891
"TWS Automobile, Inh. Tobias Wille",5,Small_buyer,3,1,4,144,2002,308422,3272,0,20,80,80,20,0,434
"Autohaus Schauz, Inh. Richard Schauz",1,Small_buyer,1,9,6,450,2019,20468,45050,0,100,0,0,100,0,1831
FF Motor's,1,Small_buyer,1,9,2,140,2005,103456,2741,0,0,100,100,0,0,747
ARTŪR KARPOVIČ,4,Small_buyer,2,6,3,168,2001,338951,1252,0,100,0,25,75,0,356
Timeless Automobiles SARL,14,Small_buyer,4,4,9,124,2011,73876,9709,0,7,92,35,64,0,683
"OLI MAR, Inh. Anna Hnatowska",5,Small_buyer,3,4,4,114,2001,232567,2137,20,0,80,20,80,0,-240
Zakład Elektroinstalacyjny Marcin Łanocha,1,Small_buyer,1,8,2,90,2009,148147,2216,0,0,100,0,100,0,668
"DC-Automobile, Inh. Ilhan Debe",1,Small_buyer,1,7,2,110,2010,339441,1199,0,0,100,100,0,0,545
Auto BHJ,80,Top_buyer,9,1,8,69,2006,132147,1220,1,3,95,1,98,0,390
EUROCARS-COM SRL,7,Small_buyer,3,8,8,160,2013,179037,11400,14,14,71,100,0,0,562
NAGYATÁD-CAR KFT.,9,Small_buyer,3,7,5,98,2008,134880,3100,0,0,100,0,100,0,619
KONSTANTINIDIS EYAGGELOS GEORGIOS || PUPPIES WORLD,1,Small_buyer,1,7,4,110,2017,78696,12999,0,0,100,0,0,100,0
FASTRACC ANONYMI ETAIREIA PAROXIS YPIRESION IDIOTIKIS ASFALEIAS KATHARISMON METAFORON KAI TOYRISMOY || FASTRACC A E,1,Small_buyer,1,10,4,90,2018,58840,11500,100,0,0,0,100,0,961
NN MOBILITY OOD,2,Small_buyer,1,5,7,197,2018,71358,30845,50,50,0,50,0,50,-273
GROUPE BYMYCAR - Peugeot Annemasse,5,Small_buyer,3,10,8,134,2017,63369,19018,0,60,40,60,40,0,855
