stock_number,esp,make,model,subtype,fueltype,age,age_bin,esp_cluster,builtyear,hp,mileage,geartype,body_type
BZ30316,14490,Volkswagen,Golf VII,1.2 TSI,Benzin,8,8-9,10_15,2016,110,104030,Gear type automatic,1025
NB13489,31780,Skoda,Kodiaq,1.5 TSI ACT,Benzin,4,4-5,30+,2020,150,51311,duplex,1035
ZE40563,11680,Fiat,500,1.2,Benzin,5,4-5,10_15,2018,70,67853,Gear type manual,8111
HT51630,9769,Skoda,Fabia,1.4 TDI,Diesel,8,8-9,0_10,2016,90,117586,Gear type manual,8111
SV03986,22067,BMW,X1,xDrive 20i,Benzin,8,8-9,20_25,2016,192,89634,Gear type automatic,1035
XS03215,18990,Peugeot,208,1.2 PureTech,Benzin,4,4-5,15_20,2020,101,27722,Gear type manual,1025
PE76489,14770,Skoda,Octavia,1.4 TSI,Benzin,9,8-9,10_15,2015,150,89278,Gear type manual,1023
EU71184,22255,Mercedes-Benz,GLA-Klasse,GLA 220 d,Diesel,8,8-9,20_25,2016,177,75890,Gear type automatic,1035
XN58534,12990,Fiat,500,1.2,Benzin,5,4-5,10_15,2018,70,45556,Gear type manual,8111
VR29842,17990,Ford,Kuga,1.5 EcoBoost,Benzin,7,6-7,15_20,2017,150,35742,Gear type manual,1035
DA43905,17890,MINI,MINI,Cooper S,Benzin,5,4-5,15_20,2019,192,86713,Gear type manual,8111
NH77273,16860,Volkswagen,Polo,1.6 TDI,Diesel,5,4-5,15_20,2018,95,61259,duplex,1025
FF97880,10490,Kia,Rio,1.2,Benzin,7,6-7,10_15,2016,85,40951,Gear type manual,8111
JF54335,34200,BMW,X2,M35i,Benzin,5,4-5,30+,2019,306,42913,Gear type automatic,1035
ND62741,10577,Opel,Adam,1.4,Benzin,7,6-7,10_15,2017,100,85937,Gear type manual,8111
WY84896,13160,Citroen,C3,1.2 PureTech,Benzin,6,6-7,10_15,2018,82,46627,Gear type manual,1025
PU25801,13410,Seat,Ibiza,1.0 TSI,Benzin,8,8-9,10_15,2015,110,54659,Gear type automatic,1023
TP27535,33790,Audi,SQ5,3.0 V6 TDI,Diesel,8,8-9,30+,2016,340,106512,Gear type automatic,1035
AV18057,13590,Volkswagen,up!,1.0,Benzin,6,6-7,10_15,2018,60,13097,Gear type automatic,8111
CF54915,12360,Fiat,500,1.2,Benzin,5,4-5,10_15,2019,70,24335,Gear type manual,8111
FB52474,14490,Volkswagen,Polo,1.2 TSI,Benzin,8,8-9,10_15,2016,110,53685,Gear type manual,8111
RW99096,25890,Audi,A1,40 TFSI,Benzin,5,4-5,25_30,2019,200,42755,Gear type automatic,8111
RZ36845,18397,BMW,X1,sDrive 18d,Diesel,9,8-9,15_20,2015,150,109862,Gear type automatic,1035
