dates,cars_sold_de,cars_sold_it,cars_sold_fr,cars_sold_es,cars_sold_pl,cars_sold_se,cars_sold_at,cars_sold_be,cars_sold_nl
2022-04-27,61,33,34,35,14,5,10,14,4
2022-04-28,47,20,22,26,16,4,7,10,6
2022-04-29,56,35,20,38,19,16,12,9,6
2022-04-30,44,19,20,25,15,3,5,8,4
2022-05-01,21,9,16,7,4,6,4,6,3
2022-05-02,57,36,33,15,20,12,9,11,8
2022-05-03,54,28,36,28,2,14,7,10,9
2022-05-04,64,41,46,23,28,7,9,7,9
2022-05-05,55,31,45,32,17,6,8,10,3
2022-05-06,59,25,30,27,24,9,6,12,7
2022-05-07,45,12,16,17,8,3,3,4,6
2022-05-08,33,9,18,12,10,8,2,4,2
2022-05-09,70,37,39,32,17,11,12,20,5
2022-05-10,72,26,42,45,20,3,10,12,6
2022-05-11,62,28,32,34,24,7,10,14,2
2022-05-12,67,29,32,31,19,12,4,7,12
2022-05-13,60,26,40,39,12,5,7,12,10
2022-05-14,36,24,39,17,10,5,3,3,5
2022-05-15,41,5,15,9,3,5,2,4,5
2022-05-16,65,39,43,32,19,11,12,11,12
2022-05-17,63,30,44,28,20,5,6,15,8
2022-05-18,59,34,43,38,16,5,8,10,11
2022-05-19,61,28,21,19,16,10,10,8,6
2022-05-20,54,33,42,34,25,11,4,10,4
2022-05-21,36,16,34,14,14,5,3,7,1
2022-05-22,19,9,8,9,10,2,5,5,2
2022-05-23,69,40,33,30,26,9,9,10,8
2022-05-24,60,37,31,31,22,10,10,18,12
2022-05-25,40,24,30,41,22,10,9,11,12
2022-05-26,33,34,22,34,21,8,3,6,5
2022-05-27,71,28,32,31,21,7,5,10,10
2022-05-28,37,18,16,20,11,3,3,11,3
2022-05-29,35,17,8,11,15,6,1,5,2
2022-05-30,64,27,45,32,17,17,7,9,12
2022-05-31,64,37,46,28,22,10,10,9,9
2022-06-01,61,41,40,42,16,7,13,12,9
2022-06-02,58,13,37,28,13,4,13,12,9
2022-06-03,45,28,30,22,17,10,9,8,2
2022-06-04,28,26,17,24,13,3,1,6,0
2022-06-05,21,4,14,17,14,4,0,3,3
2022-06-06,18,39,34,22,30,2,0,4,3
2022-06-07,79,39,32,29,24,5,14,11,2
2022-06-08,66,34,35,21,28,14,12,19,7
2022-06-09,79,51,41,39,18,8,8,16,4
2022-06-10,47,42,38,27,19,9,15,6,5
2022-06-11,48,26,22,21,10,6,6,11,5
