id,buy_price,make,model,subtype,outside_color,built_year,body_type,upholstery,mileage,horsepower,benzin,diesel,automatic,manual,time_online_to_reserve_
MB33508,8905,Volkswagen,up!,1.0,White,2016,Limousine,Stoff,52888,75,1,0,1,0,6
CE72346,31991,Volkswagen,T6 Multivan,2.0 TSI,Red,2017,Bus,Stoff,83079,150,1,0,0,1,61
FP34220,34196,Mercedes-Benz,V-Klasse,V 220 d,Black,2016,Bus,Stoff,85637,163,0,1,1,0,19
DL19721,19519,Volkswagen,T-Roc,1.5 TSI,Blue,2018,SUV,Stoff,35346,150,1,0,0,1,24
AD53757,17612,BMW,5er,520d,Gray,2013,Limousine,Leder,63890,185,0,1,1,0,33
HA81988,24844,Volkswagen,Tiguan,2.0 TSI,Gray,2018,SUV,Leder,70057,220,1,0,1,0,25
CJ93912,9441,Skoda,Fabia,1.0 MPI,Green,2018,Kombi,Stoff,31663,75,1,0,0,1,17
ER21194,18286,BMW,4er,420d,Gray,2014,Coupe,Alcantara,41071,185,0,1,1,0,12
FW42926,24832,Mercedes-Benz,C-Klasse,C 300,White,2018,Kombi,Leder,76072,245,1,0,1,0,37
GT22705,11640,Renault,Captur,0.9 Energy,White,2017,SUV,Stoff,27087,90,1,0,0,1,24
SL54339,29101,Audi,Q3,35 TFSI,Black,2019,SUV,Teilleder,48250,150,1,0,1,0,35
JY42301,9847,Volkswagen,Polo,1.4 TSI,Black,2015,Limousine,Alcantara,97933,150,1,0,0,1,34
JW40065,30329,Mercedes-Benz,C-Klasse,C 180,White,2018,Cabrio,Alcantara,25979,155,1,0,1,0,36
HH69882,21847,Land Rover,Evoque,2.0 Td4,Gray,2017,SUV,Leder,67259,150,0,1,1,0,4
KM78729,11618,Ford,Focus,1.5 EcoBoost,Black,2015,Kombi,Stoff,85197,150,1,0,0,1,19
SK58041,17105,Audi,Q3,1.4 TFSI,Black,2017,SUV,Stoff,38769,125,1,0,0,1,9
BP80309,16246,Nissan,X-Trail,2.0 dCi,White,2016,SUV,Leder,100689,177,0,1,1,0,77
HG71418,12462,Renault,Captur,1.2 TCe Energy,Black,2017,SUV,Teilleder,56555,118,1,0,1,0,25
CD44698,17100,Seat,Leon,1.5 TSI,Gray,2018,Kombi,Teilleder,57144,150,1,0,1,0,44
AZ76045,11205,Ford,EcoSport,1.0 EcoBoost,White,2017,SUV,Teilleder,59116,125,1,0,0,1,104
GV68613,21221,Hyundai,i30,2.0 TGDI,Gray,2019,Limousine,Teilleder,39976,275,1,0,0,1,62
CG16069,15575,BMW,1er,118i,Gray,2019,Limousine,Stoff,54097,135,1,0,0,1,88
BW89684,14713,Volkswagen,Golf VII,1.4 TSI,Gray,2018,Kombi,Stoff,74266,125,1,0,0,1,83
SG25370,11000,Volkswagen,Golf VI,2.0 TDI,Black,2015,Cabrio,Leder,97242,140,0,1,0,1,55
JU58619,10900,Fiat,500,1.2,Black,2019,Limousine,Stoff,28745,70,1,0,1,0,45
JZ42439,26829,BMW,X4,xDrive 20i,Black,2017,SUV,Leder,63796,185,1,0,1,0,63
BJ92885,13094,Toyota,RAV 4,2.2 D-4D,Gray,2015,SUV,Stoff,105459,150,0,1,0,1,31
CD41117,11181,Mercedes-Benz,A-Klasse,A 180,Gray,2013,Limousine,Teilleder,87862,122,1,0,0,1,3
CF64697,10508,Opel,Insignia,1.6 SIDI Turbo,Gray,2014,Kombi,Stoff,79050,170,1,0,0,1,26
AX10758,17513,BMW,3er,328i,Black,2015,Limousine,Leder,79286,245,1,0,1,0,6
