company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
Platonyx GmbH,1,Small_buyer,1,5,2,150,1994,179244,2703,0,0,1,0,1,0,-405
BRUNO VANDORPE,1,Small_buyer,1,10,2,140,2006,136741,2196,0,0,1,0,1,0,654
"NKuhn Automobile, Inh. Sacira Neslanovic-Kuhn",4,Small_buyer,2,1,6,157,2012,120249,11897,0,1,0,0.5,0.5,0,724
OMK AUTO,5,Small_buyer,3,2,3,83,2006,114884,1136,0,0,1,0,1,0,294.8
LB AUTOS 33,5,Small_buyer,3,3,3,73,2005,95444,1505,0,0,1,0,1,0,520.8
"Auto Garden Speyer, Inh. Deniz Cuhadar",2,Small_buyer,1,5,4,163,2010,140384,8498,0,0.5,0.5,0.5,0.5,0,484.5
Van der Linden Motorcars,16,Medium_buyer,5,5,10,285,2012,128604,17232,0.3125,0.5625,0.125,0,1,0,1360.75
KHLIBOROB ANDRIY IHOROVYCH,1,Small_buyer,1,10,5,95,2019,19356,20745,0,1,0,0,0,1,701
IVAN GRINČUK I.V.,1,Small_buyer,1,3,2,135,2008,273967,2016,0,0,1,1,0,0,507
"CAR POINT, Inh. Yasin Gedikli",6,Small_buyer,3,6,7,143,2011,116923,9446,0.5,0.333333333,0.166666667,0.833333333,0.166666667,0,572.3333333
"BEST autoworks, Inh. Hüseyin Tamtürk",4,Small_buyer,2,6,5,162,2009,165224,7738,0.75,0.25,0,0.5,0.5,0,697.5
"SENOL ÖZ, Inh. Senol Öz",10,Small_buyer,4,4,6,134,2008,197020,3835,0.1,0.4,0.5,0.4,0.6,0,609.6
"Graf.A.A., Inh. Anatol Graf",8,Small_buyer,3,6,9,157,2012,155914,16394,0,0.875,0.125,0.75,0.125,0.125,1250.625
ROIASLAV TRANS SRL,8,Small_buyer,3,6,5,122,2009,269467,2657,0.25,0,0.75,0.625,0.375,0,512.5
NÓGRÁD CAR KERESKEDELMI ÉS SZOLGÁLTATÓ KFT,12,Small_buyer,4,3,5,93,2006,183772,1878,0,0,1,0.083333333,0.916666667,0,448.3333333
Autobedrijf Björn Erkens,1,Small_buyer,1,2,5,305,2013,122768,20700,0,1,0,0,1,0,700
BRAMOTORS SL,2,Small_buyer,1,9,4,137,2009,171086,7262,0.5,0,0.5,1,0,0,714.5
CĂPUȘAN RĂZVAN ÎNTREPRINDERE INDIVIDUALĂ,1,Small_buyer,1,8,2,160,2008,191723,3700,0,1,0,0,1,0,558
D TROVAS E TROVA OE  AUTO TROVAS,11,Small_buyer,4,6,8,93,2014,96946,7210,0.090909091,0.090909091,0.818181818,0.272727273,0.727272727,0,462.6363636
G&M Automobile,1,Small_buyer,1,10,4,115,2017,46311,13240,0,0,1,1,0,0,391
